,Label,Tweet
70,0,„A Harvey Weinstein Moment for the Restaurant Industry?” https://t.co/iy2c36Vy3H #metoo #food
71,1,"I DON'T LIKE THIS LIFE - Betty Chrys,  No1 in France !https://t.co/EzsLAh1BIb #Apple #NOUVELLESTAR #metoo #SS11… https://t.co/kYdWVgasNs"
72,1,#blackkeys #gpdceo #indianapolis #guangzhou #metoo#me2#doc #followforfollow… https://t.co/jsqUCrZzLN
73,1,"Come and see my channel !!!
https://t.co/bTjvgIXc3q
#letsplay #gaming #YouTube #ItsOkayToBeWhite #MeToo #shit #Commentary #English #HD"
74,0,"How do child molesters get record erased? Convicted! Came forward, police don't care. Crooked.  #MeToo… https://t.co/cK3rlbwOgq"
75,1,Rethink the name ??? 😳 #metoo #halwa #chennai #food #restaurant #india #LGQ6 #lg #foodmode #foodie #blog #blogger… https://t.co/j8WPJrxQHd
76,0,So I want to hear about your @Twitch Weirdness and possible #SexualHarassment? #twitch #MeToo #gamer... https://t.co/K5QHDQKWKW
77,1,#saturday late breakfast! ☕️🥛🥐 #cappuccino #cappuccinos #11novembre #MeToo #latelate #food #foodporn #Foodie… https://t.co/EzcpEFzRy2
78,0,#TeamFollowBack Hollywood holds #MeToo march against sexual harassment https://t.co/CFTm5fdTuC #AutoFollowback
79,1,(UNTAGGED) Hustle ALL WAYS - Sabermozes BEATS https://t.co/e7CewBQHGu via @YouTube #youtube #hustle #complex #xxl… https://t.co/mcUZGJFNPl
80,1,"WORST teksi drivers RANKING,WORST world university RANKING, WORST football team RANKING-WELCOME 2 malaysia!  #metoo… https://t.co/25QmN7SSnC"
81,1,"#metoo #FoodPorn #PhnomPenh #siemreap #Singapore #Laos #Palembang A BODOH Malaysian motorist,BMW1443,FAIL2use car h… https://t.co/fg2D6xdupL"
82,1,"Malaysia BODOH land-A BODOH Malaysian motorist MAXIS INTERNET EXPERT,WNA5188,drive opposite ROAD DIRECTIONS@PJ Jln… https://t.co/pRn2yJw0iN"
83,1,"A foreigner woman in Kuala Lumpur night market,carry different baby each day,begging 4money-Malaysia Boleh! #meetoo… https://t.co/jcWG4aAd3k"
84,1,"A BODOH Malaysian motorist,WX99,FAIL2use car headlights'-where r BODOH malaysians ENFORCEMENT officers? #meetoo… https://t.co/70A5YKs9gT"
